timestamp_utc,latitude,longitude,depth_m,altitude_m,heading_deg,speed_knots,swath_width_m
2026-09-20T08:00:00Z,13.082700,80.270700,32.4,12.1,045.0,3.5,100.0
2026-09-20T08:00:30Z,13.083100,80.271200,33.1,11.9,045.0,3.5,100.0
2026-09-20T08:01:00Z,13.083500,80.271700,34.0,12.0,045.0,3.4,100.0
2026-09-20T08:01:30Z,13.083900,80.272200,34.8,12.2,045.0,3.5,100.0
2026-09-20T08:02:00Z,13.084300,80.272700,35.5,11.8,045.0,3.6,100.0
2026-09-20T08:02:30Z,13.084700,80.273200,36.2,12.0,045.0,3.5,100.0
2026-09-20T08:03:00Z,13.085100,80.273700,37.0,12.1,045.0,3.5,100.0
2026-09-20T08:03:30Z,13.085500,80.274200,37.8,11.9,045.0,3.4,100.0
2026-09-20T08:04:00Z,13.085900,80.274700,38.5,12.0,045.0,3.5,100.0
2026-09-20T08:04:30Z,13.086300,80.275200,39.2,12.3,045.0,3.5,100.0
2026-09-20T08:05:00Z,13.086700,80.275700,40.0,12.0,045.0,3.5,100.0
